Date,Close,Open,High,Low,Volume,Change %
6/4/2021,4400.10,4404.30,4482.00,4359.80,29080,-0.10%
6/5/2021,4404.30,4366.60,4420.50,4257.70,29230,0.85%
6/6/2021,4367.00,4168.10,4393.40,4160.10,31500,4.73%
6/7/2021,4169.90,4190.00,4244.60,4024.70,38940,-0.48%
6/8/2021,4190.00,4207.50,4268.60,4125.00,36570,-0.37%
6/9/2021,4205.40,3881.60,4226.50,3878.10,48620,8.41%
6/10/2021,3879.10,3930.00,3983.00,3850.90,21410,-1.30%
6/11/2021,3930.00,3654.70,3977.00,3654.70,40150,7.59%
6/12/2021,3652.80,3779.60,3781.30,3620.00,20880,-3.35%
6/13/2021,3779.60,3598.70,3808.00,3559.10,25640,5.03%
6/14/2021,3598.50,3597.30,3743.60,3493.50,49240,-0.14%
6/15/2021,3603.40,3875.50,3903.70,3564.40,56980,-6.97%
6/16/2021,3873.20,3892.20,4048.00,3834.10,33210,-0.69%
6/17/2021,3900.00,4084.40,4110.00,3836.20,47770,-4.51%
6/18/2021,4084.10,3667.00,4113.90,3667.00,58980,11.40%
6/19/2021,3666.30,3680.10,3775.90,3476.30,37050,-0.52%
6/20/2021,3685.40,3697.10,3874.00,3511.10,70740,-0.34%
6/21/2021,3698.00,3237.40,3809.00,2981.00,183110,14.20%
6/22/2021,3238.10,3850.20,3917.20,3206.20,127510,-15.89%
6/23/2021,3849.70,4149.40,4159.60,3734.00,71510,-7.08%
6/24/2021,4142.90,4198.90,4378.40,4055.50,40040,-1.43%
6/25/2021,4203.00,4234.90,4373.10,4123.00,30900,-0.69%
6/26/2021,4232.10,4315.40,4325.00,3975.80,45870,-1.99%
6/27/2021,4317.90,4304.00,4381.20,4159.40,31110,0.28%
6/28/2021,4305.80,4613.50,4686.20,4107.10,60930,-6.67%
6/29/2021,4613.50,4594.60,4672.80,4465.30,23130,0.53%
6/30/2021,4589.10,4375.00,4631.40,4361.40,39000,4.90%
7/1/2021,4374.90,4210.60,4469.90,3900.10,57730,4.15%
7/2/2021,4200.40,4599.20,4606.00,4056.50,59080,-8.59%
7/3/2021,4595.00,4534.20,4699.80,4331.00,33560,1.34%
7/4/2021,4534.40,4911.80,4969.00,4400.50,55030,-7.55%
7/5/2021,4904.90,4718.30,4927.40,4660.70,28710,3.96%
7/6/2021,4718.20,4567.90,4749.90,4567.90,18470,3.27%
7/7/2021,4569.00,4586.60,4641.10,4481.10,17070,-0.39%
7/8/2021,4587.10,4385.10,4644.20,4336.70,32700,4.64%
7/9/2021,4383.80,4330.70,4395.20,4175.70,21220,1.20%
7/10/2021,4331.80,4340.20,4405.70,4305.00,11160,-0.23%
7/11/2021,4341.70,4351.50,4364.00,4243.60,14800,-0.23%
7/12/2021,4351.50,4324.10,4461.20,4277.40,27760,0.61%
7/13/2021,4325.20,4135.00,4370.80,4093.00,22040,4.75%
7/14/2021,4129.10,4086.90,4248.60,4055.90,27490,1.35%
7/15/2021,4074.00,3998.90,4140.00,3600.00,61720,1.79%
7/16/2021,4002.50,4066.30,4093.50,3956.40,26610,-1.52%
7/17/2021,4064.30,4145.00,4192.00,4040.90,25100,-1.95%
7/18/2021,4145.10,4088.20,4184.10,3920.00,41770,1.34%
7/19/2021,4090.20,4269.70,4359.00,3957.00,46800,-3.99%
7/20/2021,4260.00,4386.40,4489.10,4178.10,40300,-2.88%
7/21/2021,4386.30,4160.00,4403.60,3928.10,35290,5.65%
7/22/2021,4151.90,4321.00,4430.00,3841.90,64130,-3.88%
7/23/2021,4319.50,4061.60,4330.30,3969.30,34220,6.57%
7/24/2021,4053.30,3866.20,4183.70,3836.10,48160,4.86%
7/25/2021,3865.50,3643.40,3965.40,3590.00,37660,6.08%
7/26/2021,3644.10,3404.70,3690.60,3380.00,26430,6.93%
7/27/2021,3407.90,3340.20,3444.40,3310.00,19130,2.04%
7/28/2021,3339.90,3415.00,3424.40,3236.80,26250,-2.20%
7/29/2021,3415.00,3395.00,3482.90,3343.80,31720,0.54%
7/30/2021,3396.70,3232.50,3440.00,3190.00,24540,5.23%
7/31/2021,3227.90,3255.00,3309.80,3156.00,16950,-0.88%
8/1/2021,3256.40,2860.00,3331.90,2855.00,50560,13.86%
